timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-06-17,111.55,112.97,109.75,111.87,18.6172,3508095,0.0,1.0
2015-06-18,112.81,117.32,112.74,116.6,19.4043,3388085,0.0,1.0
2015-06-19,116.93,117.24,114.82,114.82,19.1081,1763102,0.0,1.0
2015-06-22,117.59,118.63,116.81,117.59,19.5691,2744102,0.0,1.0
2015-06-23,118.0,118.2,116.39,117.88,19.6174,2393885,0.0,1.0
2015-06-24,117.43,118.92,115.962,116.07,19.3161,1768780,0.0,1.0
2015-06-25,117.37,117.7286,114.77,115.31,19.1897,1775063,0.0,1.0
2015-06-26,115.21,116.05,111.76,113.17,18.8335,2747968,0.0,1.0
2015-06-29,109.18,111.2,104.951,105.17,17.5022,5702977,0.0,1.0
2015-06-30,107.36,108.05,105.19,106.37,17.7019,3683217,0.0,1.0
2015-07-01,109.25,109.94,107.2,108.55,18.0647,2950504,0.0,1.0
2015-07-02,109.53,109.8765,107.77,108.96,18.1329,2198430,0.0,1.0
2015-07-06,106.71,109.8499,106.0,108.04,17.9798,2746003,0.0,1.0
2015-07-07,108.35,109.1,102.41,108.59,18.0713,5215182,0.0,1.0
2015-07-08,106.43,106.84,102.52,103.15,17.166,3851707,0.0,1.0
2015-07-09,107.31,107.4199,102.85,102.85,17.1161,2609590,0.0,1.0
2015-07-10,106.8,108.8,105.88,107.63,17.9116,2567909,0.0,1.0
2015-07-13,110.35,113.56,110.33,113.13,18.8269,2184575,0.0,1.0
2015-07-14,113.77,116.4072,113.59,115.4,19.2046,2129153,0.0,1.0
2015-07-15,116.06,117.2,114.88,115.95,19.2962,2482118,0.0,1.0
2015-07-16,118.75,120.8,118.04,120.48,20.05,2909973,0.0,1.0
2015-07-17,123.65,126.0,123.09,125.99,20.967,2986000,0.0,1.0
2015-07-20,127.04,128.78,125.74,127.4,21.2017,1997699,0.0,1.0
2015-07-21,127.6,128.107,126.04,127.05,21.1434,1821045,0.0,1.0
2015-07-22,121.34,124.65,121.32,122.88,20.4494,2258061,0.0,1.0
2015-07-23,123.24,124.38,120.5,121.41,20.2048,2016326,0.0,1.0
2015-07-24,123.31,123.59,117.38,117.96,19.6307,2218158,0.0,1.0
2015-07-27,115.86,117.385,114.2,114.93,19.1264,2512992,0.0,1.0
2015-07-28,116.57,118.61,113.73,117.96,19.6307,3241618,0.0,1.0
2015-07-29,118.65,120.03,117.32,119.28,19.8503,2536188,0.0,1.0
2015-07-30,118.43,121.52,116.3,120.94,20.1266,2855093,0.0,1.0
2015-07-31,122.05,122.25,119.74,120.57,20.065,2271614,0.0,1.0
2015-08-03,120.64,121.558,117.0,119.46,19.8803,3077836,0.0,1.0
2015-08-04,119.12,119.82,117.1801,118.69,19.7522,2944781,0.0,1.0
2015-08-05,120.66,123.78,120.27,121.47,20.2148,2654389,0.0,1.0
2015-08-06,121.71,122.24,113.97,115.64,19.2446,3651950,0.0,1.0
2015-08-07,114.75,115.97,112.28,115.18,19.168,3336969,0.0,1.0
2015-08-10,117.35,119.84,117.35,119.07,19.8154,2787580,0.0,1.0
2015-08-11,117.15,118.57,112.58,114.53,19.0599,3610237,0.0,1.0
2015-08-12,112.22,116.37,108.49,115.54,19.2279,4673878,0.0,1.0
2015-08-13,116.0,117.65,114.36,115.02,19.1414,2930416,0.0,1.0
2015-08-14,114.25,116.1,113.62,115.64,19.2446,3041257,0.0,1.0
2015-08-17,114.75,118.57,113.9,118.48,19.7172,2611565,0.0,1.0
2015-08-18,117.81,118.3,116.22,116.59,19.4027,2270836,0.0,1.0
2015-08-19,115.5,117.44,112.36,114.4,19.0382,4906622,0.0,1.0
2015-08-20,111.2,112.2658,104.81,104.98,17.4706,6250400,0.0,1.0
2015-08-21,100.5,103.05,91.92,91.92,15.2971,7922746,0.0,1.0
2015-08-24,75.05,91.48,65.303,81.03,13.4849,8181642,0.0,1.0
2015-08-25,89.5,91.13,79.6,79.96,13.3068,6034713,0.0,1.0
2015-08-26,86.79,92.17,81.67,91.5,15.2272,5937920,0.0,1.0
2015-08-27,95.78,98.85,92.33,98.65,16.4171,10124046,0.0,1.0
2015-08-28,97.08,99.6,96.44,98.57,16.4038,4460325,0.0,1.0
2015-08-31,96.95,98.55,94.2,94.91,15.7947,4309798,0.0,1.0
2015-09-01,87.92,92.13,84.83,86.3,14.3619,6538795,0.0,1.0
2015-09-02,90.51,93.32,87.691,93.32,15.5301,3755814,0.0,1.0
2015-09-03,94.46,96.28,91.12,91.78,15.2738,4650535,0.0,1.0
2015-09-04,88.1,90.4351,87.09,88.71,14.7629,5825917,0.0,1.0
